Date,Day,Details —
28.07.2023,Friday,Course wish list registration by students
01.08.2023 to 05.08.2023,Tuesday to Saturday,Course allocation and scheduling by Schools
09.08.2023,Wednesday,Course registration by students (11.00am to 6.00pm)
12.08.2023,Saturday,Commencement of Fall WEI Semester 2023-24 (First Instructional Day)
02.09.2023,Saturday,Continuous Assessment Test -1
08.10.2023,Sunday,Continuous Assessment Test — II
25.11.2023,Saturday,Final assessment test for laboratory courses/ components
25.11.2023,Saturday,Last instructional day for theory classes
27.11.2023,Monday,Commencement of final assessment test for theory courses / components
